132.	Davis, Mike FA RB	3.70	0.463	1.60 	0.40 	0.00 	0.00 	0.30 	0.00 	  	  	1.20 	B 	0.20 	  	  	  	BYE	FA	-
133.	Chestnut, Julius TEN RB	3.60	1.800	  	  	  	  	  	B 	  	  	  	  	  	  	1.80 	1.80 	@NOS	FA	6
134.	Sermon, Trey PHI RB	2.90	1.450	  	  	  	2.90 	0.00 	  	B 	  	  	  	  	  	  	  	@NEP	illmatic27	7
135.	Hairston, Troy HOU RB	2.70	0.225	1.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	1.70 	0.00 	0.00 	0.00 	0.00 	0.00 	  	@BAL	FA	6
136.	Johnson, Jakob LVR RB	2.70	0.208	0.60 	0.00 	0.00 	0.00 	1.00 	B 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.60 	@DEN	FA	6
137.	Taylor, J.J. NEP RB	2.20	2.200	  	  	  	  	  	  	  	  	2.20 	B 	  	  	  	  	PHI	FA	10
138.	Smith, Keith ATL RB	2.00	0.154	0.00 	0.00 	0.00 	0.00 	0.00 	2.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	CAR	FA	14
139.	Ahmed, Salvon MIA RB	1.90	0.238	  	0.00 	  	0.00 	  	0.00 	0.00 	0.20 	0.00 	1.60 	B 	  	  	0.10 	@LAC	FA	11
140.	Conner, Snoop JAC RB	1.70	0.425	  	  	  	  	  	  	  	0.00 	0.00 	  	B 	1.10 	0.60 	  	@IND	FA	11
141.	Johnson, David NOS RB	1.70	1.700	  	  	  	  	  	  	  	  	  	  	1.70 	  	  	B 	BYE	FA	14
142.	Prentice, Adam NOS RB	1.40	0.200	0.00 	0.70 	0.00 	  	  	  	  	  	  	0.00 	0.00 	0.00 	0.70 	B 	TEN	FA	14
143.	Hill, Kylin FA RB	1.20	0.600	  	  	  	  	  	  	  	  	1.20 	0.00 	  	  	  	B 	BYE	FA	-
